iter	Logloss
0	0.6616964174
1	0.6336924233
2	0.607948138
3	0.5852363673
4	0.5636334486
5	0.5442800145
6	0.5280403218
7	0.5108224342
8	0.4969673058
9	0.4844528934
10	0.4714327213
11	0.4599482124
12	0.4495147678
13	0.4398877469
14	0.4312305712
15	0.423148607
16	0.4152287511
17	0.4081192307
18	0.4018641225
19	0.3954359637
20	0.389881954
21	0.3844850475
22	0.3793411251
23	0.3751419523
24	0.3708105389
25	0.3669806205
26	0.3632003543
27	0.360658728
28	0.3571509024
29	0.3537456971
30	0.3508519685
31	0.3477318507
32	0.3449781485
33	0.3429974404
34	0.3406943773
35	0.3390073589
36	0.3363072352
37	0.3341426895
38	0.3326575837
39	0.3309946649
40	0.3289410205
41	0.3269018356
42	0.325229838
43	0.3241722834
44	0.3230765841
45	0.3218714793
46	0.3210390571
47	0.3200231802
48	0.3186207076
49	0.3175859471
50	0.3167311692
51	0.3159246297
52	0.3146833368
53	0.3140375409
54	0.3133643504
55	0.3124603543
56	0.3116513394
57	0.3110766295
58	0.3102822236
59	0.309605685
60	0.3088459222
61	0.3084082556
62	0.3075562337
63	0.3067331845
64	0.3054693218
65	0.3046020993
66	0.3040047852
67	0.302910657
68	0.3016668895
69	0.3006529244
70	0.3001151269
71	0.2996458984
72	0.2992442982
73	0.2987423649
74	0.2981960884
75	0.2976446436
76	0.2968922109
77	0.296486598
78	0.2959778969
79	0.2952319463
80	0.2946931477
81	0.2941385514
82	0.2934762594
83	0.2928724449
84	0.2924248845
85	0.2920424202
86	0.2911497213
87	0.2907755876
88	0.2904232163
89	0.2899609448
90	0.2893097136
91	0.2884155134
92	0.2880633902
93	0.2876862927
94	0.287281415
95	0.286976587
96	0.2864239315
97	0.2860608411
98	0.2853895683
99	0.2851097505
100	0.2848012995
101	0.2845020773
102	0.2841255536
103	0.2836146357
104	0.2831391595
105	0.2823836133
106	0.2819068852
107	0.2816495355
108	0.2813772544
109	0.281020935
110	0.2806690914
111	0.2804335837
112	0.2802095876
113	0.2799347766
114	0.2796427702
115	0.2792395444
116	0.2787018884
117	0.2783648662
118	0.2780919687
119	0.2777733098
120	0.2774780627
121	0.2771562492
122	0.2768493156
123	0.2765476021
124	0.2763023675
125	0.2759905538
126	0.2756005033
127	0.2752573312
128	0.274828005
129	0.274536362
130	0.2742208186
131	0.273925866
132	0.2735418862
133	0.2732351833
134	0.2729983217
135	0.2723396935
136	0.2720405843
137	0.2718192977
138	0.2715400478
139	0.2713551463
140	0.2709419808
141	0.2706801095
142	0.270258252
143	0.2699745948
144	0.2695426399
145	0.2693110057
146	0.2689874491
147	0.2688492942
148	0.2685009076
149	0.2681871321
150	0.2680607904
151	0.267436839
152	0.2670813979
153	0.2668344144
154	0.2666158334
155	0.2664994158
156	0.2661191413
157	0.2659661976
158	0.2657494171
159	0.2655128005
160	0.2652503803
161	0.2649628403
162	0.2646602485
163	0.2643869613
164	0.2642656676
165	0.2640272363
166	0.2637793491
167	0.2635523521
168	0.2634039198
169	0.2631119472
170	0.2628246306
171	0.2626295474
172	0.2624158339
173	0.2622299269
174	0.2619656473
175	0.261693704
176	0.2613856887
177	0.2612493923
178	0.2610404279
179	0.2608276378
180	0.260566909
181	0.2604067017
182	0.2601531356
183	0.259744303
184	0.259596818
185	0.2593517863
186	0.2590964128
187	0.2589530082
188	0.2586592706
189	0.2583990249
190	0.2582252241
191	0.2580215182
192	0.2578685473
193	0.2576501449
194	0.2572702814
195	0.2569107136
196	0.2568103401
197	0.2564669869
198	0.2562020233
199	0.2560093328
200	0.2557496153
201	0.2555176651
202	0.2554105673
203	0.2551954069
204	0.2548518507
205	0.254446095
206	0.2541299489
207	0.2540076225
208	0.2537063743
209	0.2533948627
210	0.2531401293
211	0.2529785023
212	0.2528072257
213	0.2524545308
214	0.2522924211
215	0.2519486556
216	0.2517237927
217	0.2515169208
218	0.2512453205
219	0.2509771057
220	0.250836298
221	0.2505212282
222	0.2503428923
223	0.2501892529
224	0.2500639781
225	0.2498445468
226	0.2496476747
227	0.2494463791
228	0.2492902462
229	0.2490797941
230	0.24898891
231	0.2485320831
232	0.2483726481
233	0.2481882204
234	0.2478718345
235	0.2475254708
236	0.2473434738
237	0.2470811953
238	0.2468180045
239	0.2467038447
240	0.2465459561
241	0.2463231861
242	0.2460569255
243	0.2458448118
244	0.2454741123
245	0.2452521569
246	0.2450442697
247	0.2447497544
248	0.2445924187
249	0.2443220428
250	0.2440259427
251	0.2438111248
252	0.2436914174
253	0.2434692897
254	0.2433756123
255	0.2432059162
256	0.2430201056
257	0.2428320067
258	0.242651935
259	0.2423649659
260	0.2421108326
261	0.2419698983
262	0.2416921393
263	0.2412934635
264	0.2411518668
265	0.2409317275
266	0.2406466546
267	0.2405202575
268	0.240285283
269	0.2401080757
270	0.2398849018
271	0.239689458
272	0.2394493879
273	0.2393051812
274	0.2391504897
275	0.2389326375
276	0.2387421214
277	0.2385730795
278	0.2383677044
279	0.2382079371
280	0.2379750793
281	0.2378032413
282	0.2375732256
283	0.2373785916
284	0.2371895943
285	0.2369922162
286	0.2367926625
287	0.2365574195
288	0.2363723388
289	0.2361303627
290	0.2357725084
291	0.235581084
292	0.2352536203
293	0.2350481156
294	0.2348927519
295	0.2346032123
296	0.2343371907
297	0.2341970216
298	0.2339010404
299	0.2336438459
300	0.2335208685
301	0.2334191667
302	0.2333203814
303	0.2332093113
304	0.2330900547
305	0.232970849
306	0.2327980449
307	0.2326165297
308	0.2324691696
309	0.2321856609
310	0.2320624497
311	0.2318434667
312	0.2317139562
313	0.2314483629
314	0.231284786
315	0.2311662923
316	0.2310570914
317	0.2308595357
318	0.2307420551
319	0.2305844264
320	0.2303609064
321	0.2302606292
322	0.2300947754
323	0.2299076345
324	0.2298195024
325	0.2295632039
326	0.2294529543
327	0.2293601093
328	0.2291745896
329	0.2290318697
330	0.2289177456
331	0.2286880104
332	0.2284729255
333	0.228159021
334	0.228004986
335	0.2277455429
336	0.2275945885
337	0.2274440071
338	0.2272660639
339	0.2271425437
340	0.2270254008
341	0.2269254587
342	0.226699836
343	0.2265112223
344	0.2262904721
345	0.2261534392
346	0.2257873299
347	0.2256329537
348	0.2255048031
349	0.2252564503
350	0.2248242187
351	0.2246248873
352	0.2244210402
353	0.2242916112
354	0.2240829407
355	0.2239215248
356	0.2237154317
357	0.2234251861
358	0.2232006688
359	0.2230771861
360	0.2229206638
361	0.2227583471
362	0.2226332893
363	0.2224485192
364	0.2221851161
365	0.2220804073
366	0.2218699085
367	0.2217528007
368	0.2215798031
369	0.2214085312
370	0.2212987383
371	0.2210163709
372	0.2208959627
373	0.220737669
374	0.2205720486
375	0.2204199582
376	0.2201916608
377	0.220011001
378	0.2198457227
379	0.2195827082
380	0.2194161773
381	0.2191600081
382	0.2189712698
383	0.2188212978
384	0.218586558
