iter	Passed	Remaining
0	9	9573
1	16	8247
2	26	8827
3	33	8462
4	43	8559
5	52	8725
6	61	8682
7	70	8680
8	78	8610
9	87	8693
10	94	8516
11	103	8493
12	109	8331
13	117	8304
14	124	8181
15	131	8105
16	139	8065
17	146	7994
18	156	8075
19	163	8006
20	172	8057
21	181	8049
22	189	8041
23	196	7974
24	206	8049
25	214	8029
26	223	8046
27	230	8002
28	238	7992
29	245	7950
30	258	8065
31	266	8051
32	274	8045
33	282	8018
34	289	7969
35	296	7943
36	304	7916
37	311	7878
38	319	7874
39	326	7839
40	336	7882
41	344	7853
42	353	7857
43	360	7825
44	369	7851
45	377	7819
46	385	7808
47	392	7774
48	399	7762
49	406	7729
50	415	7723
51	421	7688
52	429	7680
53	436	7652
54	445	7648
55	451	7618
56	458	7589
57	467	7589
58	475	7583
59	484	7593
60	491	7562
61	499	7560
62	506	7534
63	514	7528
64	521	7506
65	530	7503
66	537	7479
67	545	7470
68	551	7444
69	560	7441
70	567	7427
71	575	7416
72	583	7414
73	590	7393
74	599	7393
75	607	7389
76	617	7400
77	624	7384
78	635	7405
79	643	7399
80	651	7396
81	659	7388
82	667	7379
83	677	7385
84	685	7375
85	695	7386
86	702	7371
87	711	7375
88	718	7353
89	730	7389
90	741	7410
91	753	7435
92	763	7450
93	772	7448
94	781	7444
95	790	7439
96	797	7427
97	805	7415
98	812	7393
99	819	7372
100	827	7362
101	834	7343
102	842	7336
103	849	7316
104	856	7303
105	863	7280
106	872	7278
107	879	7261
108	886	7247
109	893	7230
110	900	7209
111	908	7205
112	915	7186
113	923	7177
114	930	7157
115	939	7156
116	945	7139
117	955	7142
118	962	7124
119	970	7117
120	977	7102
121	987	7106
122	995	7096
123	1003	7087
124	1012	7088
125	1021	7085
126	1028	7070
127	1036	7063
128	1043	7047
129	1052	7041
130	1059	7027
131	1067	7018
132	1073	7000
133	1080	6984
134	1090	6989
135	1097	6973
136	1106	6970
137	1113	6953
138	1122	6954
139	1129	6936
140	1137	6927
141	1143	6911
142	1151	6903
143	1158	6887
144	1166	6879
145	1173	6862
146	1181	6858
147	1190	6853
148	1200	6855
149	1207	6841
150	1215	6831
151	1222	6818
152	1228	6800
153	1237	6796
154	1243	6780
155	1251	6771
156	1258	6757
157	1267	6752
158	1273	6736
159	1282	6732
160	1289	6720
161	1297	6710
162	1304	6696
163	1311	6683
164	1318	6674
165	1325	6660
166	1333	6651
167	1340	6636
168	1347	6627
169	1354	6614
170	1363	6608
171	1369	6594
172	1376	6580
173	1384	6573
174	1391	6560
175	1400	6556
176	1407	6542
177	1415	6534
178	1421	6521
179	1429	6512
180	1436	6499
181	1444	6490
182	1450	6477
183	1457	6464
184	1465	6458
185	1472	6444
186	1480	6437
187	1487	6423
188	1495	6417
189	1502	6406
190	1510	6399
191	1517	6386
192	1526	6383
193	1533	6371
194	1540	6359
195	1548	6352
196	1555	6340
197	1563	6331
198	1570	6319
199	1577	6311
200	1585	6301
201	1593	6294
202	1600	6283
203	1607	6273
204	1615	6266
205	1622	6253
206	1630	6246
207	1636	6232
208	1646	6230
209	1653	6219
210	1662	6218
211	1670	6208
212	1679	6206
213	1687	6197
214	1697	6197
215	1704	6187
216	1713	6183
217	1721	6174
218	1730	6171
219	1738	6163
220	1746	6157
221	1754	6148
222	1764	6146
223	1772	6141
224	1779	6129
225	1786	6119
226	1796	6115
227	1803	6105
228	1812	6103
229	1821	6099
230	1829	6089
231	1838	6087
232	1846	6078
233	1855	6073
234	1863	6066
235	1872	6062
236	1879	6052
237	1888	6047
238	1896	6038
239	1905	6034
240	1913	6025
241	1923	6025
242	1931	6017
243	1940	6012
244	1947	6001
245	1955	5994
246	1962	5982
247	1970	5974
248	1977	5963
249	1984	5953
250	1991	5942
251	1998	5932
252	2007	5928
253	2014	5917
254	2022	5909
255	2029	5897
256	2037	5889
257	2043	5878
258	2051	5870
259	2058	5859
260	2067	5854
261	2074	5842
262	2081	5833
263	2089	5824
264	2096	5814
265	2105	5809
266	2112	5798
267	2119	5789
268	2126	5778
269	2134	5771
270	2141	5759
271	2149	5751
272	2155	5740
273	2162	5729
274	2170	5721
275	2178	5713
276	2186	5705
277	2192	5694
278	2201	5688
279	2207	5677
280	2216	5670
281	2223	5660
282	2232	5656
283	2239	5645
284	2247	5638
285	2254	5627
286	2260	5616
287	2269	5609
288	2275	5598
289	2284	5592
290	2290	5581
291	2298	5574
292	2306	5564
293	2314	5558
294	2323	5552
295	2331	5544
296	2338	5534
297	2345	5526
298	2352	5516
299	2359	5505
300	2367	5497
301	2374	5486
302	2382	5479
303	2388	5468
304	2396	5461
305	2403	5450
306	2411	5443
307	2418	5434
308	2426	5425
309	2432	5414
310	2439	5404
311	2447	5396
312	2453	5384
313	2461	5378
314	2468	5368
315	2476	5360
316	2483	5350
317	2490	5341
318	2498	5333
319	2505	5323
320	2513	5315
321	2519	5305
322	2528	5300
323	2535	5290
324	2543	5283
325	2550	5273
326	2558	5265
327	2564	5255
328	2571	5245
329	2579	5237
330	2586	5227
331	2594	5221
332	2601	5211
333	2610	5205
334	2618	5197
335	2628	5194
336	2636	5186
337	2645	5182
338	2653	5173
339	2662	5168
